id,title,format,medium,notes,source,catalogueId,catalogueCallNumber,catalogueName,artistId,originalArtistId,artistFirstName,artistLastName,originalArtistLastName,artistGender,artistThumbnailFile,exhibitionId,exhibitionName,exhibitionPlace,exhibitionYear,originalExhibitionYear,mediumFormat,originalMediumFormat,price
13336,"Portrait Busts- Lord Carrington, William Beach",Sculpture,,,None given,76,ML 606/N,"Catalogue of the New South Wales Court of the Adelaide Jubilee International Exhibition, Adelaide, 1887",2912,,,Unknown,,,,39,"Adelaide Jubilee International Exhibition, Adelaide, 1887","65 Brisbane Street, Surry Hills, N.S.W.",1887,1887,Sculpture,Sculpture,
7901,Portrait from Life,Painting,,,Indexer's Authority File,29,ML 706/20,"Catalogue of exhibits in the Third Annual Exhibition of the Royal Art Society of New South Wales, 1883",295,295,Walter T,Butler,Butler,male,,9,"Royal Art Society of New South Wales Annual Exhibition. 3rd, 1883",,1883,1883,Painting,Painting,
14510,Portrait from Life,Painting,Watercolour,,Indexer's Authority File,83,ML 606/C,"Centennial International Exhibition, Melbourne. Official catalogue â€¦ 2 vols in 1 also containing official guide to the picture galleries and catalogue of fine arts",252,252,Catherine,Devine,Devine,female,,2,"Centennial International Exhibition, Melbourne, 1888-89",,1888,1888-89,Watercolour Painting,Watercolour Painting,
10707,Portrait from Life,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",60,ML FM4/8446,"Catalogue of exhibits in the Sixteenth Annual Exhibition of the Royal Art Society of New South Wales, 1895",2194,2194,James D,Fillans,Fillans,male,,12,"Royal Art Society of New South Wales Annual Exhibition. 16th, 1895",,1895,1895,Sculpture,Sculpture,
14524,Portrait from Life,Painting,Watercolour,,"McCulloch, Encyclopedia of Australian Art, 1994",83,ML 606/C,"Centennial International Exhibition, Melbourne. Official catalogue â€¦ 2 vols in 1 also containing official guide to the picture galleries and catalogue of fine arts",245,245,Mary,Stoddard,Stoddard,female,245.jpg,2,"Centennial International Exhibition, Melbourne, 1888-89",,1888,1888-89,Watercolour Painting,Watercolour Painting,
7798,Portrait from Life,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",28,ML 706/20,"Catalogue of exhibits in the Fifth Annual Exhibition of the Royal Art Society of New South Wales, 1884",245,245,Mary,Stoddard,Stoddard,female,245.jpg,10,"Royal Art Society of New South Wales Annual Exhibition. 5th, 1884",,1884,1884,Painting,Painting,
9154,Portrait from Life,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",37,ML 706/20,"Catalogue of exhibits in the Sixth Annual Exhibition of the Royal Art Society of New South Wales, 1885",245,245,Mary,Stoddard,Stoddard,female,245.jpg,17,"Royal Art Society of New South Wales Annual Exhibition. 6th, 1885",,1885,1885,Painting,Painting,
9373,Portrait from Life,Painting,Oil,Portrait,"McCulloch, Encyclopedia of Australian Art, 1994",42,ML 706/20,"Catalogue of exhibits in the Eighth Annual Exhibition of the Royal Art Society of New South Wales, 1887, Sydney",245,245,Mary,Stoddard,Stoddard,female,245.jpg,38,"Royal Art Society of New South Wales Annual Exhibition. 8th, 1887",,1887,1887,Oil Painting,Oil Painting,
9374,Portrait from Life,Painting,Oil,Portrait,"McCulloch, Encyclopedia of Australian Art, 1994",42,ML 706/20,"Catalogue of exhibits in the Eighth Annual Exhibition of the Royal Art Society of New South Wales, 1887, Sydney",245,245,Mary,Stoddard,Stoddard,female,245.jpg,38,"Royal Art Society of New South Wales Annual Exhibition. 8th, 1887",,1887,1887,Oil Painting,Oil Painting,
8847,Portrait from Life,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",34,ML 706/20,"Catalogue of exhibits in the Seventh Annual Exhibition of the Royal Art Society of New South Wales, 1886",245,245,Mary,Stoddard,Stoddard,female,245.jpg,19,"Royal Art Society of New South Wales Annual Exhibition. 7th, 1886",,1886,1886,Painting,Painting,
8848,Portrait from Life,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",34,ML 706/20,"Catalogue of exhibits in the Seventh Annual Exhibition of the Royal Art Society of New South Wales, 1886",245,245,Mary,Stoddard,Stoddard,female,245.jpg,19,"Royal Art Society of New South Wales Annual Exhibition. 7th, 1886",,1886,1886,Painting,Painting,
1511,Portrait from Life,Sculpture,,"Cameo.  See also Reports & Awards of the Jurors, p. 348, under heading Sculpture",Indexer's Authority File,10,ML Ref 606/M,"Official record â€¦ [of the] Intercolonial Exhibition of Australasia, Melbourne, 1866-67",392,392,Miss Margaret,Thomas,Thomas,female,392.jpg,3,"Intercolonial Exhibition of Australasia, Melbourne, 1866-67",,1866,1866-67,Sculpture,Sculpture,
6973,Portrait from Life,Drawing,Crayon,,Indexer's Authority File,62,ML Ref. 706/20,"Catalogue of exhibits in the First Annual Exhibition of the Royal Art Society of New South Wales, 1880, Sydney",35,35,Mary,Tomkins,Tomkins,female,,33,"Royal Art Society of New South Wales Annual Exhibition. 1st, 1880",,1880,1880,Crayon Drawing,Crayon Drawing,
6974,Portrait from Life,Drawing,Crayon,,Indexer's Authority File,62,ML Ref. 706/20,"Catalogue of exhibits in the First Annual Exhibition of the Royal Art Society of New South Wales, 1880, Sydney",35,35,Mary,Tomkins,Tomkins,female,,33,"Royal Art Society of New South Wales Annual Exhibition. 1st, 1880",,1880,1880,Crayon Drawing,Crayon Drawing,
6975,Portrait from Life,Drawing,Crayon,,Indexer's Authority File,62,ML Ref. 706/20,"Catalogue of exhibits in the First Annual Exhibition of the Royal Art Society of New South Wales, 1880, Sydney",35,35,Mary,Tomkins,Tomkins,female,,33,"Royal Art Society of New South Wales Annual Exhibition. 1st, 1880",,1880,1880,Crayon Drawing,Crayon Drawing,
4208,Portrait from Life (unfinished),Painting,Oil,For sale.  Exhibits from New South Wales Academy of Art,None given,17,ML 630.6/R,"Catalogue of the Agricultural Society of New South Wales Exhibition, 1874",1786,1786,D,Wilkinson,Wilkinson,,,22,Agricultural Society of New South Wales Exhibition,,1874,1874,Oil Painting,Oil Painting,
9155,"Portrait from Life of Mary, daughter of the Artist",Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",37,ML 706/20,"Catalogue of exhibits in the Sixth Annual Exhibition of the Royal Art Society of New South Wales, 1885",245,245,Mary,Stoddard,Stoddard,female,245.jpg,17,"Royal Art Society of New South Wales Annual Exhibition. 6th, 1885",,1885,1885,Painting,Painting,
7799,Portrait from life of Master Montagu Heron,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",28,ML 706/20,"Catalogue of exhibits in the Fifth Annual Exhibition of the Royal Art Society of New South Wales, 1884",245,245,Mary,Stoddard,Stoddard,female,245.jpg,10,"Royal Art Society of New South Wales Annual Exhibition. 5th, 1884",,1884,1884,Painting,Painting,
9156,Portrait from Life of Master Reginald Carter,Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",37,ML 706/20,"Catalogue of exhibits in the Sixth Annual Exhibition of the Royal Art Society of New South Wales, 1885",245,245,Mary,Stoddard,Stoddard,female,245.jpg,17,"Royal Art Society of New South Wales Annual Exhibition. 6th, 1885",,1885,1885,Painting,Painting,
10708,Portrait from Photograph,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",60,ML FM4/8446,"Catalogue of exhibits in the Sixteenth Annual Exhibition of the Royal Art Society of New South Wales, 1895",2194,2194,James D,Fillans,Fillans,male,,12,"Royal Art Society of New South Wales Annual Exhibition. 16th, 1895",,1895,1895,Sculpture,Sculpture,
16298,"Portrait- Geo. Brown, Esq.",Painting,Oil,,"McCulloch, Encyclopedia of Australian Art, 1994",144,ML 706/V,"Victorian Artists Society. Catalogue of Exhibitions, Melbourne",2903,2903,George,Walton,Walton,male,,53,"Victorian Artists Society, Melbourne, 1890","Grosvenor Chambers, Collins Street, Melbourne, Victoria",1890,1890,Oil Painting,Oil Painting,
3280,Portrait in Charcoal,Portrait,,"In section headed Watercolours, Drawings and Etchings.","Dictionary of Australian Artists, 1992",31,ML 708.29/V,"Catalogue of the first Exhibition of the Victorian Academy of Arts, 1870",1412,1412,Eliezer Levi,Montefiore,Montefiore,male,,31,"Exhibition of the Victorian Academy of Arts, 1870",,1870,1870,Portrait,Portrait,
17540,Portrait in Coloured Crayons,Drawing,Crayon,,"Dictionary of Australian Artists, 1992",94,DL 85/813,"Catalogue â€¦ consisting of paintings, sculpture, architecture and decorative art etc. held at the Exhibition Building, Melbourne, 1856",1785,1785,Jane,Wilkinson,Wilkinson,female,,47,"Victorian Exhibition of Art, 1856","Collins Street East, Melbourne",1856,1856,Crayon Drawing,Crayon Drawing,
800,Portrait in Oils,Painting,Oil,,"Dictionary of Australian Artists, 1992",4,DRR 85/642,"Catalogue of the natural and industrial products of New South Wales exhibited â€¦ preparatory to the Paris Universal Exhibition of 1855, Sydney, November 1854",2912,,,Unknown,,,,71,"Exhibition of the Natural and Industrial Products of New South Wales Preparatory to the Paris Universal Exhibition (1855), Sydney, 1854",,1854,1854,Oil Painting,Oil Painting,
7188,Portrait in Oils,Painting,Oil,,Indexer's Authority File,7,ML 706/20,"Catalogue of exhibits in the 2nd Annual Exhibition of the Art Society of New South Wales, 1881",39,39,Percy E,Williams,Williams,male,,36,"Royal Art Society of New South Wales, 2nd, Annual Exhibition, 1881",,1881,1881,Oil Painting,Oil Painting,
13567,Portrait in Water-colours,Painting,Watercolour,,Indexer's Authority File,87,ML 606N,"Catalogue of  the New South Wales Court of the International Exhibition, Melbourne,1880",252,252,Catherine,Devine,Devine,female,,43,"International Exhibition Melbourne, 1880. New South Wales Court","Great Thorn street, Woollahra",1880,1880,Watercolour Painting,Watercolour Painting,
7773,"Portrait- J.C.Hoyte, Esq., 1st president",Painting,,,"McCulloch, Encyclopedia of Australian Art, 1994",28,ML 706/20,"Catalogue of exhibits in the Fifth Annual Exhibition of the Royal Art Society of New South Wales, 1884",2673,2673,George,Podmore,Podmore,male,,10,"Royal Art Society of New South Wales Annual Exhibition. 5th, 1884",,1884,1884,Painting,Painting,
688,Portrait Lady and Child,Painting,,,"Dictionary of Australian Artists, 1992",3,FM 4/9612 ; Z706/S,"Catalogue of exhibits in the third exhibition of the Society for the Promotion of the Fine Arts in Australia,1857",2612,2612,Richard (P?),Noble,Noble,male,,50,"Fine Art Exhibition at the Mechanics' School of Arts, Sydney; held January 1857",,1857,1857,Painting,Painting,
4464,Portrait Medallion,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",35,ML 042/P176,"Official catalogue of the Victorian Exhibition, opened 6 November 1872, part of the London International Exhibition",1352,1352,John Simpson,Mackennal,Mackennal,male,,29,"International Exhibition, London 1873. The Victorian Exhibition",,1873,1873,Sculpture,Sculpture,
15551,Portrait Medallion,,,,"McCulloch, Encyclopedia of Australian Art, 1994",101,DL 86/747 Pam,"Annual Exhibition of Fine Arts, Melbourne, 1862. Catalogue",392,392,Miss Margaret,Thomas,Thomas,female,392.jpg,66,"Annual Exhibition of Fine Arts, Melbourne, 1862","Victoria Street, Richmond",1862,1862,Unknown,,
1246,Portrait mezzotint,Portrait - Photograph,,"See Reports and Awards of the Jurors p.350,351. Medal awarded for ""Untouched Portraits""","Dictionary of Australian Artists, 1992",10,ML Ref 606/M,"Official record â€¦ [of the] Intercolonial Exhibition of Australasia, Melbourne, 1866-67",2427,2427,,"Johnstone, O'Shannessy & Co.","Johnstone, O'Shannessy & Co.",,,3,"Intercolonial Exhibition of Australasia, Melbourne, 1866-67","3 Bourke St, Melb.",1866,1866-67,Portrait - Photograph,Portrait - Photograph,
10347,Portrait- Miss Aitchison,Painting,Watercolour,,ANG authority file,57,ML FM4/8446,"Catalogue of exhibits in the Fifteenth Annual Exhibition of the Royal Art Society of New South Wales, 1894",2442,2442,William A,Ker,Ker,male,,8,"Royal Art Society of New South Wales Annual Exhibition. 15th, 1893",,1894,1894,Watercolour Painting,Watercolour Painting,
