id,firstName,lastName,worksTotal,gender,image,imageUrl,wikipediaUrl,notes,thumbnailFile,wikiDataId
2687,Victor Albert,Prout,23,male,,,,,,
2098,Helen G,Creagh,22,female,,,,,,
1109,William,Ford,22,male,,http://victorian-era.org/images/Ford_William_c1870.jpg,,,,
2192,Giuseppe,Ferrarini,22,male,,,,,,
1232,Richard Henry,Holden,22,male,,,,,,
2597,Girolamo Pieri,Nerli,21,male,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Count_Girolamo_Nerli_-_Robert_Louis_Stevenson%2C_1850_-_1894._Essayist%2C_poet_and_novelist_-_Google_Art_Project.jpg,,,,
718,Oswald Rose,Campbell,21,male,,,,,,
2851,Frederick Casemero,Terry,21,male,,,,,,
875,James,Barnet,21,male,,,,,,
605,Lilla P,Creed,21,female,,,,,,
2673,George,Podmore,21,male,,,,,,
2092,Christopher,Coveny,21,male,,,,,,
2111,Edwin,Dalton,21,male,,,,,,
59,John,Degotardi,21,male,,,,,,
2816,Arturo,Steffani,21,male,,,,,,
1250,Thomas,Humphrey,21,male,,https://upload.wikimedia.org/wikipedia/commons/3/32/Sketch_portrait_of_Tom_Humphrey.jpg,,,,
421,Miss E,Thomson,21,female,,https://upload.wikimedia.org/wikipedia/en/f/f7/Portrait_of_Emily.jpeg,,May not be her?,,
73,E C,Dean,21,,,,,http://hdl.handle.net/1961/dcplislandora:6513,,
2296,Edward Jukes,Greig,20,male,,,,,,
1490,Emily Susan,Paterson,20,female,,,,,,
2197,Amandus Julius,Fischer,20,,,https://www.portrait.gov.au/files/f/c/8/3/i9581.jpg,,,,
2959,Walter,Withers,20,male,,https://upload.wikimedia.org/wikipedia/commons/d/df/Withers_photograph.jpg,,,,
41,Frances D,Levvy,20,male,,,,,,
1497,George Edwards,Peacock,20,male,,,,,,Q43135084
2636,Joseph Anderson,Panton,19,male,,,,,,
2078,Donald Gregor Grant,Commoms,19,male,,,,,,
1961,Arthur Merric,Boyd,19,male,,http://adb.anu.edu.au/uploads/obituaries/5323/boyd.jpg,,,,
770,Sophia Elizabeth,Steffanoni,19,female,,https://wmoa.com.au/uploads/images/_1380x1000_fit_center-center_none/Sophie_Steffanoni_compressed.jpg,,https://upload.wikimedia.org/wikipedia/commons/b/be/Steffanoni_Sophie_1898_SLNSW_bcp_05218h.jpg,,
1967,Nicholas,Brennan,19,male,,,,,,
103,William Wackenbarth,Short,19,male,,,,,,
1296,Richard,Kretzschmar,19,male,,,,,,
1176,George F,Halsted,19,male,,,,,,
2644,Emily Letitia,Paul,19,female,,,,,,
2397,John,Irvine,19,male,,,,,,
2239,Frederick,Frith,19,male,,,,,,
1420,Horace Millichamp,Moore-Jones,18,male,,,,,,
1675,Mary (Junior),Stoddard,18,female,,,,,,
1377,Margaret D,Martin,18,female,,,,,,
2740,John Peter,Russell,18,male,,,,,,
38,T W,Williams,18,,,,,,,
2444,Charles H,Kerry,18,male,,,,,,
2655,Samuel Augustus,Perry,18,male,,,,,,
643,Miss Helen,Willis,18,female,,,,,,
416,,Jackson and Edwards (Architects),18,male,,,,,,
3,Charles J,Abraham,18,male,,,,,,
1792,James A C,Willis,18,male,,,,,,
2594,John McKirdy,Nelson,18,male,,,,,,
308,Thomas,Wright,18,male,,,,,,
2732,H Constance,Roth,17,,,,,,,
353,Robert M,Ronald,17,male,,,,,,
252,Catherine,Devine,17,female,,,,,,
192,William,Strutt,17,male,,,,,,
662,Miss Una Stella H,Russell,17,female,,,,,,
1836,Robert F,Gow,17,male,,,,,,
2875,James Alfred,Turner,17,male,,,,,,
2487,Arthur Jose de Souza,Loureiro,17,male,,,,,,
1838,J Swinton,Diston,17,,,,,,,
2029,Alice,Chapman,17,female,,,,,,
2521,Joseph P,Mayall,17,male,,,,,,
261,John,Gibb,17,male,,,,,,
232,M,Robinson,17,,,,,,,
34,John,Stack,17,male,,,,,,
2052,Marshall,Claxton,17,male,,,,,,
1352,John Simpson,Mackennal,17,male,,,,,,
2076,Alice H,Combes,16,female,,,,,,
723,Samuel,Calvert,16,male,,,,,,
1827,Charles C.,Watson,16,male,,,,,,
697,William,Birkenhead,16,male,,,,,,
2715,Thomas,Roberts,16,male,,,,,,
606,Arthur G,Kenway,16,male,,,,,,
256,G L,Luker,16,,,,,,,
214,John Alexander,Gilfillan,16,male,,,,,,Q21460090
1133,Mary Harriet,Gedye,16,female,,,,,,
2777,Henry,Short,16,male,,,,,,
329,Anna Frances,Walker,16,female,,,,,,
778,Mrs. Tom,Marshall,16,female,,,,,,
210,Henry,Mills,16,male,,,,,,
16,Julius,Hogarth,16,male,,,,,,
910,Charles,Blomfield,16,male,,,,,,
2747,John,Salvana,15,,,,,,,
1807,Herbert J,Woodhouse,15,male,,,,,,
1212,John Black,Henderson,15,male,,,,,,
2834,Louisa J,Swan,15,female,,,,,,
263,C F,Gerrard,15,,,,,,,
2583,Alice J,Muskett,15,female,,,,,,
238,D,McDonald,15,,,,,,,
122,,Gibbs Shallard and Co,15,,,,,,,
1899,Henry Hall,Baily,15,male,,,,,,
2138,William Bull,Dexter,15,male,,,,,,
332,John J,Thallon,15,male,,,,,,
2040,Thomas Foster,Chuck,15,male,,,,,,
2509,Rebecca,Martens,15,female,,,,,,
638,M H,Codrington,15,,,,,,,
475,William F,Bennett,14,male,,,,,,
469,John Wilkinson,Stone,14,male,,,,,,
771,Miss Louisa,Spark,14,female,,,,,,
43,Thomas Henry,Feilding,14,male,,,,,,
